Fiscal Year,Month Ending,Licensee,Wagers,Patron Winnings,Cancelled Wagers,Online Casino Gaming Win/(Loss),Promotional Coupons or Credits Wagered (3),Promotional Deduction (4),Total Gross Gaming Revenue,Payment (5)
2023/24,03/31/2024 12:00:00 AM,MPTN On-Reservation,0.0032008063164493507,0.003275357193325086,0.0001323759901724065,0.0043659163551437565,0.0003380677515346096,0.00113795070401393,0.004709833318221895,0.0011768278147259558
2023/24,03/31/2024 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.9255386637823296,0.9268380568571335,0.7919834865364793,0.8837667700855634,0.10978256542874709,0.8180602239634933,0.8465114241595376,0.8459665584153901
2023/24,03/31/2024 12:00:00 AM,"Mohegan Digital, LLC",0.7833576605050123,0.7816181511302305,0.6439138814758335,0.8330421804598668,0.13228288694707618,0.7709395058392626,0.7979555797105626,0.7972383871347127
2023/24,02/29/2024 12:00:00 AM,Mohegan Tribe On-Reservation,0.0042981222782613885,0.004456747306723631,3.5300264045975065e-06,0.00303310905545354,0.00028320315592828563,0.0,0.0034157963614103843,0.0
2023/24,02/29/2024 12:00:00 AM,MPTN On-Reservation,0.0035542634617139793,0.00356325893017666,0.00032387992262182123,0.006646662340966832,0.00041404605682531404,0.0032027379987390795,0.0069028697930396885,0.003377566442802345
2023/24,02/29/2024 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.8799466638731931,0.8759891738297269,0.7470506629389588,0.9931456621828542,0.11921787864224688,0.9196683178720465,0.9512137716383995,0.9510407487283903
2023/24,02/29/2024 12:00:00 AM,"Mohegan Digital, LLC",0.730466235758964,0.7307906863090168,0.9410626791488401,0.7048871372015111,0.11303839261079776,0.6518896394367888,0.6752799240969082,0.6741272956116959
2023/24,01/31/2024 12:00:00 AM,Mohegan Tribe On-Reservation,0.0012321961444342546,0.0012918091675228852,4.412533005746883e-06,0.002782192093571627,0.00012609231621804276,0.0,0.0031332212117066993,0.0
2023/24,01/31/2024 12:00:00 AM,MPTN On-Reservation,0.006502886004658986,0.006692822296218997,0.000569216757741348,0.004360099114914655,0.0002997525783720721,0.0011326668467981627,0.004704242959773352,0.0011712273512997822
2023/24,01/31/2024 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.9103257459693218,0.9099077334765171,0.5902310049279169,0.9273935897813271,0.12235301613379285,0.8585876489837581,0.8882729740584657,0.887876530722316
2023/24,01/31/2024 12:00:00 AM,"Mohegan Digital, LLC",0.6753238347318705,0.6744886722537158,0.8238746275822143,0.6872835865442269,0.12225154612901556,0.6355365817046443,0.6584290114446867,0.6572165745471599
2023/24,12/31/2023 12:00:00 AM,Mohegan Tribe On-Reservation,0.0017559864887759416,0.0017370247102378388,2.64751980344813e-06,0.0056292658064985,0.000371570240872031,0.002311447356570296,0.005919185079473059,0.0023904238893367904
2023/24,12/31/2023 12:00:00 AM,MPTN On-Reservation,0.0021679506165342972,0.0021847177813051097,0.0003018172575930868,0.004991347242975226,0.00050483500846815,0.0017189348224203667,0.0053085257683205215,0.0017775383917855323
2023/24,12/31/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.9698293235113052,0.9704977336895239,0.45923613758630916,0.9625455436585236,0.05971081297035057,0.4618763697499174,1.0,0.9999999999999999
